Yr,Lg,Series,Date,,TeamW,GamesW,,TeamL,GamesL
2003,NBA,Western Conf First Round,Apr 19 - Apr 30 2003,,Sacramento Kings (2),4,,Utah Jazz (7),1
2003,NBA,Western Conf First Round,Apr 19 - May 1 2003,,San Antonio Spurs (1),4,,Phoenix Suns (8),2
2003,NBA,Eastern Conf Semifinals,May 6 - May 16 2003,,Detroit Pistons (1),4,,Philadelphia 76ers (4),2
2003,NBA,Eastern Conf Semifinals,May 5 - May 12 2003,,New Jersey Nets (2),4,,Boston Celtics (6),0
2003,NBA,Western Conf Semifinals,May 6 - May 17 2003,,Dallas Mavericks (3),4,,Sacramento Kings (2),3
2003,NBA,Western Conf Semifinals,May 5 - May 15 2003,,San Antonio Spurs (1),4,,Los Angeles Lakers (5),2
2003,NBA,Eastern Conf Finals,May 18 - May 24 2003,,New Jersey Nets (2),4,,Detroit Pistons (1),0
2003,NBA,Western Conf Finals,May 19 - May 29 2003,,San Antonio Spurs (1),4,,Dallas Mavericks (3),2
2003,NBA,Finals,Jun 4 - Jun 15 2003,,San Antonio Spurs (1),4,,New Jersey Nets (2),2
2002,NBA,Eastern Conf First Round,Apr 21 - May 3 2002,,Boston Celtics (3),3,,Philadelphia 76ers (6),2
2002,NBA,Eastern Conf First Round,Apr 20 - Apr 30 2002,,Charlotte Hornets (4),3,,Orlando Magic (5),1
2002,NBA,Eastern Conf First Round,Apr 21 - May 2 2002,,Detroit Pistons (2),3,,Toronto Raptors (7),2
